"Equipment","Description","Status"
"26-1108","2019 Chevrolet Express 3500 Van","inactive"
"26-1109","RAM 5500 Service Truck","inactive"
"26-1110","1982 GMC Cement Pump Truck","inactive"
"26-1865","Cement Silo","inactive"
"26-1866","Mud Tank","inactive"
"26-1867","WSD Iron Rough Neck 2.0 – 1","inactive"
"26-1868","WSD Iron Rough Neck 2.0 – 2","inactive"
"26-1869","WSD Iron Rough Neck 2.0 – 3","inactive"
"26-1870","Hacker HT-175S Rotary Table","inactive"
"26-1871","Wire Line Logging Tool","inactive"
"26-1872","CWS Built Drum Cement Blower","inactive"
"26-1873","Cuttings Tank","inactive"
"26-1874","Cuttings Tank","inactive"
"26-1875","Cuttings Tank","inactive"
"26-1876","Cuttings Tank","inactive"
"26-1877","Iron Roughneck V1","inactive"
"26-1878","Iron Roughneck V2","inactive"
"26-1879","Iron Roughneck V2","inactive"
"26-1113","2006 International Tractor","inactive"
"26-1114","2006 International Tractor","inactive"
"26-1116","2011 Fontaine Trailer","inactive"
"26-1117","2011 Fontaine Trailer","inactive"
"26-1120","2018 Chevy Silverado 2500","inactive"
"26-1121","2020 Ford F-250","inactive"
"26-1122","2020 Ford F-250","inactive"
"26-1123","2020 Ford F-250","inactive"
"26-1124","2020 Ford F-250","inactive"
"26-1125","2017 Dodge 2500 Crew Cab","inactive"
"26-1128","Ford F350 Diesel Dual RW Utility","inactive"
"26-1129","Ford F350 Diesel Dual RW Utility","inactive"
"26-1130","2006 Westernstar Cement Pump Truck","inactive"
"26-1131","Peterbilt Model 362 Bulk Truck","inactive"
"26-1880","Iron Roughneck V2","inactive"
"26-1882","D&W Vacuum Pump","inactive"
"26-1883","D&W Vacuum Pump","inactive"
"26-1884","Single Screen Shale Shaker","inactive"
"26-1885","7x7x7 Explosives Magazine Box","inactive"
"26-1886","Dust Collector","inactive"
"26-1887","EVCO 120 Power Swivel","inactive"
"26-1888","EZ-CUT Section Mill","inactive"
"26-1889","Iron Roughneck Pedestal Mount","inactive"
"26-1890","Substructure Mud Boat #1","inactive"
"26-1891","Substructure Mud Boat #2","inactive"
"26-1892","Bowen S3.5 120T Power Swivel","inactive"
"26-1893","3 5/8"" Casing Section Mill","inactive"
"26-1894","Yost Short Mud Tank 1","inactive"
"26-1895","Yost Short Mud Tank 2","inactive"
"26-0038","1999 Mack Tractor from Zeni","inactive"
"26-0048","Mack Truck - 1999, 1M2P270C5YM","inactive"
"26-0099","Kenworth T800 Winch Tractor","inactive"
"26-0109","Talbert 3 axle 55 ton Detach Trailer","inactive"
"26-0110","TRAILMOBILE DR0P DECK","inactive"
"26-0111","Quality Deckover Utility Trailer","inactive"
"26-0112","Quality 18+4 PRO Deckover Trailer","inactive"
"26-0113","Doghouse #1 - Rig #212","inactive"
"26-0114","Doghouse #2 - Rig #213","inactive"
"26-0115","Doghouse #3 - Rig #214","inactive"
"26-0116","Doghouse #4 - Rig #215","inactive"
"26-0120","Top Brand 21' Beavertail","inactive"
"26-0124","Doghouse #5","inactive"
"26-0125","Doghouse #6","inactive"
"26-1132","Peterbilt Model 362 Bulk Truck","inactive"
"26-1133","International Tandem Axle Truck","inactive"
"26-1134","International Lube Truck","inactive"
"26-1135","Ram 5500 Service Truck","inactive"
"26-1138","Kenworth T800 4 Axle Tractor","inactive"
"26-1139","2018 Chevy Silverado 2500","inactive"
"26-1140","2022 Pitts LB35-38CS Trailer","inactive"
"26-1141","2015 Ram 2500","inactive"
"26-1142","2022 Dodge Ram 2500 Tradesman","inactive"
"26-1143","2015 Ram 2500","inactive"
"26-1144","2022 Dodge Ram 2500 Crew Cab","inactive"
"26-1145","2022 Dodge Ram 2500 Crew Cab","inactive"
"26-1146","2022 Dodge Ram 2500 Crew Cab","inactive"
"26-1147","2007 Mack Cement Pump Truck","inactive"
"26-1896","2006 XK150 Power Swivel w CAT C9","inactive"
"26-1897","2008 Mud Pump w John Deere Engine","inactive"
"26-1898","Multiquip 45KW Generator","inactive"
"26-1899","5 Ton Top Running Crane with Hoist","inactive"
"26-1900","10 Ton Monorail Hoist","inactive"
"26-1901","Geovision Deluxe Camera System","inactive"
"26-1902","Bowen 3.5 120 Ton Power Swivel","inactive"
"26-1903","Bowen 3.5 120 Ton Power Swivel","inactive"
"26-1904","EVCO 2.5 85 Ton Power Swivel","inactive"
"26-1905","TUBING TONG, 56000,","inactive"
"26-1906","TUBING TONG, 56000,","inactive"
"26-1907","Power Mig 360MP Welder","inactive"
"26-1908","Mud Tank 36'x7'","inactive"
"26-1909","Evco 85 Ton Swivel Trailer","inactive"
"26-0126","1994 Pitt Log Trailer","inactive"
"26-0128","2017 Big Tex Trailer","inactive"
"26-0131","Fruehauf Trailer w/ Fuel Tank`","inactive"
"26-0136","Rig 713 Doghouse Trailer","inactive"
"26-0137","2013 Gooseneck Trailer","inactive"
"26-0138","1994 Stoughton Box Trailer","inactive"
"26-0141","ASM Doghouse Trailer - Rig 229","inactive"
"26-0142","Joe's Welding Float Trailer","inactive"
"26-0143","1979 Fontaine Trailer","inactive"
"26-0144","1990 Trailmobile 46' Reefer","inactive"
"26-0145","Dog House Rig 238","inactive"
"26-0146","1981 Dickerson 2 Axle Float","inactive"
"26-0147","Custom Fab Utility Trailer","inactive"
"26-0149","1987 Kalyn T/A Flatbed Trailer","inactive"
"26-1148","2022 Ford F-250 XL Crew Cab","inactive"
"26-1149","2022 Ford F-250 Crew Cab XL","inactive"
"26-1150","2022 Ford F-250 Crew Cab XL","inactive"
"26-1151","2022 Ford F-250 Crew Cab XL","inactive"
"26-1155","1997 Western Star 80BBL Water Truck","inactive"
"26-1156","2013 Western Star Tractor Water Truck","inactive"
"26-1157","2023 Chevrolet Silverado 2500 HD","inactive"
"26-1158","2023 Chevrolet Silverado 2500HD","inactive"
"26-1159","2023 Chevrolet Silverado 2500HD","inactive"
"26-1160","2022 Ford F-250 Crew Cab XL","inactive"
"26-1161","2022 Ford F-250 Crew Cab XL","inactive"
"26-1162","2022 Ford F-250 Crew Cab XL","inactive"
"26-1163","2023 Chevrolet 3500 Crew Utility","inactive"
"26-1164","2019 Ford F-550 W/ Wireline Box","inactive"
"26-1910","ECKEL Power Tong Jaws","inactive"
"26-1911","Reverse Circulating Tank","inactive"
"26-1912","Service King Power Tong","inactive"
"26-1913","Tubing Tong RT56000","inactive"
"26-1914","Tubing Tong RT56000","inactive"
"26-1915","Venturetech XK-90 Power Swivel","inactive"
"26-1916","Venturetech XK-90 Power Swivel","inactive"
"26-1917","Logan Oil Tools PS-85","inactive"
"26-1918","Shop Built Cutting Tub","inactive"
"26-1919","Shop Built Cutting Tub","inactive"
"26-2012","2008 CAT D6N XL","inactive"
"26-2037","2011 Premier Trailer","inactive"
"26-2038","2011 Premier Trailer","inactive"
"26-2050","Premier 6X12 Utility Trailer","inactive"
"26-0150","2017 Car Mate Cargo Trailer","inactive"
"26-0151","2017 Car Mate Cargo Trailer","inactive"
"26-0152","ALFAB Trailer","inactive"
"26-0154","Pitts 35 Ton Ramp Trailer","inactive"
"26-0156","Rauch Hydraulic Spinning Tool","inactive"
"26-0157","Rauch Hydraulic Spinning Tool","inactive"
"26-0158","98 Fruehauf Doghouse Trailer","inactive"
"26-0159","3 Axle Folding Neck Lowboy","inactive"
"26-0160","07 Fontaine 8'x20' Doghouse","inactive"
"26-0161","7'x16' Car Mate Enclosed Trailer","inactive"
"26-0162","Homesteader 7x16 Cargo Trailer","inactive"
"26-0163","2008 JMCY Float Trailer","inactive"
"26-0164","Sure Trac 7x20 Equip Trailer","inactive"
"26-0165","Holden 41' Tri/A Step Deck","inactive"
"26-1165","2012 Ford F-550 W/ Wireline Box","inactive"
"26-1166","2007 GMC C 5500 w/ Wireline Box","inactive"
"26-1167","1991 International 8100 Series","inactive"
"26-1168","2023 Ford F-150 XL Crew Cab","inactive"
"26-1170","2023 Chevrolet Silverado 2500 HD","inactive"
"26-1171","2023 Chevrolet Silverado 2500 HD","inactive"
"26-1173","2023 GMC Sierra 1500 Denali","inactive"
"26-1174","2023 Chevrolet Silverado 2500 HD","inactive"
"26-1175","2007 Western Star Winch Truck","inactive"
"26-1176","Tico S/A Yard Truck","inactive"
"26-1177","Kenworth W990 Tractor","inactive"
"26-1178","2023 Chevrolet Silverado 2500","inactive"
"26-1179","2024 Ford F-350 Utility Bed","inactive"
"26-1180","2025 Peterbilt 567 Winch Truck","inactive"
"26-2054","2011 Corn Pro 14K Trailer","inactive"
"26-2800","Doghouse for Rig 242","inactive"
"26-0182","Dickerson Trailor Red Float","inactive"
"26-0183","2026 Big Tex Trailer","inactive"
"26-0196","Lowboy Trailor Red Rogers","inactive"
"26-0206","Driltech D25KW Truck Drill","inactive"
"26-0212","SK-575","inactive"
"26-0213","SK-148","inactive"
"26-0214","SK-375","inactive"
"26-0215","SK-375","inactive"
"26-0220","SK 375","inactive"
"26-0221","SK 375","inactive"
"26-0234","Ideco H-37 Drill Rig","inactive"
"26-0237","Ideco H35 Drill Rig","inactive"
"26-0238","Ideco H35 Drill Rig","inactive"
"26-0242","Arcadia Well Service Rig","inactive"
"26-0243","BCA Fab Well Service Rig","inactive"
"26-1181","2023Chevrolet Silverado 2500 HD","inactive"
"26-1182","2023 Chevrolet Silverado 2500 HD","inactive"
"26-1183","2023 Chevrolet Silverado 2500HD","inactive"
"26-1184","2024 Chevrolet Silverado 2500HD","inactive"
"26-1185","2024 RAM 5500 Service Truck","inactive"
"26-1186","RAM 5500 Crew Flatbed","inactive"
"26-1187","2022 Ford F-250 Crew Cab","inactive"
"26-1188","2023 Chevrolet Silverado HD","inactive"
"26-1189","1998 Peterbilt Bulk Chassis","inactive"
"26-1190","1997 Peterbilt Bulk Chassis","inactive"
"26-1191","2025 Ford F-250 XL","inactive"
"26-1192","2025 Ford F-250 XL","inactive"
"26-1193","2025 Ford F-250 XL","inactive"
"26-1194","2025 Ford F-250 XL","inactive"
"26-0247","Service King SK375","inactive"
"26-0248","Mack/ SR50 Service Rig","inactive"
"26-0249","Mack/BCA C25A Service Rig","inactive"
"26-0250","Service King SK375","inactive"
"26-0251","Dickerson SR-60 Service Rig S/N 4804","inactive"
"26-0314","Zeni construction Pump","inactive"
"26-0332","Cement Pump - Zeni 21-0475","inactive"
"26-0401","COMPRESS","inactive"
"26-0406","IR 1170 Air Compressor","inactive"
